,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,cost_2021_PCI_Family_house,cost_2021_PCI_Family_house,0
7981,5590,20464_29.27389_-94.843654_0_79.36.jpg,MJcrHwGrWgjbepJ6TnuSrQ,3.418191047,0.344191963,29.27389,-94.843654,29.27390186,-94.84350424,"[2019, 9]",11,N,275.3919983,2964.294799,3.418191047,13.21453756,11,N,0,-2.214537556,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,80103.01596,80103.01596
7771,2932,15432_29.2893111_-94.800076_0_178.66.jpg,1Ry85osHlNCEo3EfLemKOw,3.223129365,0.852062453,29.28931114,-94.800076,29.28917462,-94.80006528,"[2021, 4]",10,N,275.2900085,2963.19699,3.223129365,12.57457141,10,N,0,-2.574571407,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,80073.35028,80073.35028
7887,11986,7154_29.2954366_-94.7912112_0_162.51.jpg,8mthln7x6MzR5BxI3P7jCQ,3.318271198,0.82003948,29.2954366,-94.7912112,29.2952992,-94.79113606,"[2019, 10]",11,Y,266.0400085,2863.630819,3.318271198,12.88671653,11,N,0,-1.886716529,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,77382.81133,77382.81133
410,593,11385_29.3069884_-94.7951661_0_12.31.jpg,RW2-fQWQ8ckbM9me6YAoRQ,0.781968544,0.387505017,29.3069884,-94.7951661,29.30715515,-94.79514895,"[2019, 9]",12,Y,2223.459961,23933.12384,0.781968544,4.565513596,12,Y,8.934486404,7.434486404,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,536927.3413,744269.6482,922159.4669,850561.0764,853481.426,929567.9841,76086.55805
2087,2153,13974_29.2925915_-94.7995302_0_284.11.jpg,mDLCc5wJSojQ8VkDwMJ-qw,1.372982855,0.790835522,29.2925915,-94.7995302,29.29262456,-94.79965979,"[2021, 4]",10,Y,2932.139893,31561.29114,1.372982855,6.504536926,10,Y,4.995463074,3.495463074,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,607447.461,842022.1383,1043276.033,962273.8991,965577.8079,1040830.939,75253.13118
7681,2067,13842_29.2928539_-94.7939401_0_357.60.jpg,HyPjXuZEmvm2JhGTu3GmXQ,3.160619136,0.812883813,29.2928539,-94.7939401,29.29301774,-94.79397772,"[2019, 10]",10,N,258.5610046,2783.127491,3.160619136,12.36948535,10,N,0,-2.369485354,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,75207.40038,75207.40038
7799,6099,21819_29.2634134_-94.8410743_0_165.92.jpg,c1sZNk6VaGGe0YhjK-mY1w,3.238686951,0.586190237,29.2634134,-94.8410743,29.26321126,-94.84102462,"[2021, 4]",10,N,252.0679932,2713.237298,3.238686951,12.62561336,10,N,0,-2.625613356,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,73318.78416,73318.78416
8200,4992,19371_29.2783918_-94.8381045_0_230.01.jpg,XKG-djFBrG0JlJOKCdi9mA,3.639643799,0.29631905,29.27839182,-94.83810447,29.2782964,-94.83822788,"[2020, 3]",11,N,251.7400055,2709.706868,3.639643799,13.94108858,11,N,0,-2.941088579,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,73223.38268,73223.38268
8050,11440,6423_29.2983932_-94.7870693_0_148.67.jpg,lHLaHuXkSd7aPMlWiSVl1g,3.476515785,0.775293229,29.2983932,-94.7870693,29.29829297,-94.78702952,"[2018, 8]",11,N,250.7089996,2698.609212,3.476515785,13.40589168,11,N,0,-2.405891683,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,72923.49495,72923.49495
7477,12562,8648_29.2879059_-94.7991686_0_284.51.jpg,x9NYzAgVQ1fwWPDeYIV0Rw,2.944875237,0.899071066,29.28790586,-94.7991686,29.28795337,-94.79938198,"[2019, 10]",10,Y,250.1069946,2692.129284,2.944875237,11.66166416,10,N,0,-1.661664163,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,72748.39031,72748.39031
7760,11829,6963_29.2957657_-94.7864007_0_357.97.jpg,x7VsKM-EZ87RpnAlhk58xw,3.215808775,0.8246969,29.2957657,-94.7864007,29.29592597,-94.78639641,"[2019, 10]",11,Y,250.0570068,2691.59122,3.215808775,12.55055372,11,N,0,-1.550553724,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,72733.8504,72733.8504
7827,11320,6271_29.2990229_-94.7883885_0_147.57.jpg,dCt2OjDNGmib6H2r_ku6cQ,3.266331669,0.756183349,29.2990229,-94.7883885,29.2988919,-94.78831694,"[2019, 8]",11,Y,248.6179962,2676.101839,3.266331669,12.71631125,11,N,0,-1.71631125,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,72315.28672,72315.28672
8156,4956,1928_29.2779139_-94.827922_0_170.08.jpg,neSndyWjkjR8W_kfzCnqTw,3.585065374,0.267498534,29.2779139,-94.827922,29.2777442,-94.82787026,"[2020, 3]",11,N,246.3480072,2651.667881,3.585065374,13.76202551,11,N,0,-2.762025505,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,71655.01712,71655.01712
4815,2253,14153_29.3021317_-94.7919269_0_313.55.jpg,c4NkULgdSWbGBwkx1qbb7A,1.935148048,0.519448599,29.3021317,-94.7919269,29.3022151,-94.79199911,"[2018, 8]",12,Y,2789.939941,30030.66359,1.935148048,8.348910919,12,Y,5.151089081,3.651089081,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,581493.2532,806045.3355,998700.3215,921159.1389,924321.8826,995925.4637,71603.58101
1440,4312,18098_29.2916871_-94.826568_0_253.68.jpg,oLtFmb-Y7vMdOnOwtoqMoQ,1.20610897,0.596373627,29.2916871,-94.826568,29.29165512,-94.82670588,"[2019, 10]",12,Y,2135.179932,22982.88551,1.20610897,5.957050427,12,Y,7.542949573,6.042949573,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,486253.7853,674027.761,835128.8841,770287.7302,772932.4662,841823.7568,68891.29067
8260,5060,19520_29.2778783_-94.8421024_0_273.80.jpg,g_NJreEqfpu8ZquPGNPWBw,3.716762828,0.453957356,29.2778783,-94.8421024,29.27785771,-94.84225398,"[2020, 3]",11,N,233.3880005,2512.16753,3.716762828,14.19410377,11,N,0,-3.194103766,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,67885.35195,67885.35195
8642,7491,24670_29.2016159_-94.9446571_0_95.31.jpg,LvJWn_Bz18dKixE3CYajlA,4.480084759,0.622005202,29.2016159,-94.9446571,29.20156296,-94.94436524,"[2021, 3]",15,Y,231.5019989,2491.866777,4.480084759,16.69844081,15,N,0,-1.69844081,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,67336.77241,67336.77241
2385,2284,14254_29.300911_-94.7929105_0_314.30.jpg,I7STj2n1ShG14sU0k7UxVA,1.44103759,0.660000703,29.300911,-94.7929105,29.30105042,-94.79308214,"[2018, 8]",12,Y,2302.899902,24788.20824,1.44103759,6.727813615,12,Y,6.772186385,5.272186385,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,510120.0026,707110.2654,876118.5237,808094.8484,810869.3928,877579.6479,66710.25512
8134,11657,6719_29.29739_-94.7838376_0_192.73.jpg,ykpoTzoATYfKqXn0umpq6g,3.560146306,0.793917892,29.29739,-94.7838376,29.29722553,-94.78387255,"[2019, 8]",11,N,228.6369934,2461.028115,3.560146306,13.68027003,11,N,0,-2.680270033,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,66503.43091,66503.43091
8189,1864,13489_29.2946287_-94.7871481_0_178.44.jpg,XT7QaaBRSTWHjQZ9JKGPeA,3.614765945,0.853908198,29.2946287,-94.7871481,29.29446581,-94.78713986,"[2019, 10]",11,N,228.5919952,2460.543758,3.614765945,13.85946832,11,N,0,-2.859468323,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,66490.34232,66490.34232
7796,6461,22548_29.2589501_-94.8461155_0_63.57.jpg,4jFhBp7ZzqKQRW_Lluqquw,3.236529677,0.535148186,29.2589501,-94.8461155,29.2590741,-94.84586439,"[2020, 3]",11,Y,227.6289978,2450.178141,3.236529677,12.61853569,11,N,0,-1.618535686,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,66210.23616,66210.23616
507,2312,14339_29.2949462_-94.8118653_0_13.30.jpg,lHffxiGTbAfAnUnsnIUFYQ,0.842888686,0.74141848,29.2949462,-94.8118653,29.29509266,-94.81185695,"[2021, 4]",12,Y,1928.569946,20758.95413,0.842888686,4.765382828,12,Y,8.734617172,7.234617172,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,461567.398,639808.366,792730.6228,731181.3586,733691.8252,799687.279,65995.4538
7537,3172,15859_29.2880524_-94.7954879_0_222.79.jpg,9O0AJzVZLuysf1jAc56eGg,3.018172388,0.912172084,29.28805242,-94.79548785,29.28786087,-94.79562217,"[2016, 10]",10,Y,226.5480042,2438.542422,3.018172388,11.90214038,10,N,0,-1.902140381,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,65895.80855,65895.80855
7538,3176,15865_29.2880524_-94.7954879_0_222.79.jpg,9O0AJzVZLuysf1jAc56eGg,3.018172388,0.912172084,29.28805242,-94.79548785,29.28786087,-94.79562217,"[2016, 10]",10,Y,226.5480042,2438.542422,3.018172388,11.90214038,10,N,0,-1.902140381,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,65895.80855,65895.80855
7727,3198,15900_29.2874518_-94.8037079_0_328.52.jpg,95CKlvuB2XORS8Lc1xYFEA,3.194356627,0.820130609,29.28745179,-94.80370788,29.28761371,-94.80376911,"[2021, 4]",10,N,226.0390015,2433.063563,3.194356627,12.48017266,10,N,0,-2.480172661,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,65747.75541,65747.75541
7728,12579,8670_29.2874518_-94.8037079_0_328.52.jpg,95CKlvuB2XORS8Lc1xYFEA,3.194356627,0.820130609,29.2874518,-94.8037079,29.28761372,-94.80376913,"[2021, 4]",10,N,226.0390015,2433.063563,3.194356627,12.48017266,10,N,0,-2.480172661,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,65747.75541,65747.75541
8301,6002,21652_29.2650665_-94.8688303_0_80.46.jpg,wLLnegucd-XPXpkzKqNE2g,3.778763615,0.667622476,29.2650665,-94.8688303,29.26516198,-94.86856225,"[2021, 3]",12,N,224.6109924,2417.692601,3.778763615,14.39751842,12,N,0,-2.397518422,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,65332.39172,65332.39172
8676,1475,1285_29.2824626_-94.8715157_0_35.23.jpg,#NAME?,4.659664337,0.351322378,29.2824626,-94.8715157,29.28256595,-94.87139746,"[2020, 2]",14,N,219.1759949,2359.190775,4.659664337,17.28761265,14,N,0,-3.287612654,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,63751.51902,63751.51902
7931,2622,14873_29.2908099_-94.7943856_0_178.31.jpg,W99FfiXKw6hX9wJJVuR1lw,3.355115411,0.833333727,29.29080988,-94.79438561,29.29065283,-94.79434173,"[2021, 4]",10,N,218.5579987,2352.538719,3.355115411,13.00759649,10,N,0,-3.007596493,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,63571.76304,63571.76304
8311,11756,6850_29.2966043_-94.7868319_0_178.43.jpg,aRBRe4FotPKslKJtbVA26A,3.795161018,0.828355615,29.2966043,-94.7868319,29.29648222,-94.78683003,"[2019, 8]",11,N,218.4170074,2351.021101,3.795161018,14.45131568,11,N,0,-3.451315676,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,63530.75303,63530.75303
7905,5741,20717_29.2720938_-94.8377934_0_79.07.jpg,2cYC37hFANq2-vKm4GX-3Q,3.333750502,0.36881655,29.2720938,-94.8377934,29.27209102,-94.83750242,"[2019, 9]",10,N,217.4490051,2340.601611,3.333750502,12.93750165,10,N,0,-2.937501647,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,63249.19109,63249.19109
8516,1418,12775_29.2965738_-94.810802_0_58.79.jpg,pgqE6RnH9AKUYvPXj1PGHg,4.107274753,0.488280588,29.29657376,-94.81080198,29.29664757,-94.81070528,"[2019, 10]",12,N,216.423996,2329.568505,4.107274753,15.47531087,12,N,0,-3.475310869,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,62951.04764,62951.04764
7942,11108,5983_29.3005408_-94.7862653_0_162.52.jpg,MS0CnH5J1lrtFzRy59nvsg,3.364684062,0.732447734,29.30054076,-94.78626528,29.30039146,-94.78620921,"[2019, 8]",11,N,216.4190063,2329.514796,3.364684062,13.0389897,11,N,0,-2.038989705,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,62949.59629,62949.59629
8107,10711,5442_29.3036217_-94.782547_0_13.16.jpg,5Hc3wXcEgbB4riEpEqt0vg,3.533740978,0.701083151,29.3036217,-94.782547,29.3039042,-94.78251121,"[2017, 3]",12,Y,215.0249939,2314.509772,3.533740978,13.59363838,12,N,0,-1.593638379,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,62544.1212,62544.1212
8108,10754,5493_29.3036217_-94.782547_0_13.16.jpg,5Hc3wXcEgbB4riEpEqt0vg,3.533740978,0.701083151,29.30362173,-94.78254699,29.30390423,-94.7825112,"[2017, 3]",12,Y,215.0249939,2314.509772,3.533740978,13.59363838,12,N,0,-1.593638379,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,62544.1212,62544.1212
7752,11221,6134_29.2993772_-94.7805585_0_43.54.jpg,dnVRAn8rqRuxTelOAzuiSg,3.210080326,0.794094044,29.2993772,-94.7805585,29.29952748,-94.78045294,"[2021, 3]",11,Y,214.0650024,2304.176509,3.210080326,12.5317596,11,N,0,-1.5317596,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,62264.88936,62264.88936
