,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,0.256,ORIGIN,-0.079
2385,2284,14254_29.300911_-94.7929105_0_314.30.jpg,I7STj2n1ShG14sU0k7UxVA,1.44103759,0.660000703,29.300911,-94.7929105,29.30105042,-94.79308214,"[2018, 8]",12,Y,2302.899902,24788.20824,1.44103759,4.983813615,12,Y,8.516186385,7.016186385,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,545741.8128,756487.9562,937298.1044,864524.3184,867492.6099,877579.6479,880692.4448
4769,10182,4663_29.3110022_-94.7807945_0_88.10.jpg,SFHkREq1vwDuVt9gtzE9cA,1.925178724,0.520368056,29.3110022,-94.7807945,29.3110094,-94.78063871,"[2019, 10]",12,Y,2368.939941,25499.05731,1.925178724,6.572203163,12,Y,6.927796837,5.427796837,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,527724.6047,731513.1409,906353.9937,835982.7732,838853.0691,846635.2964,849036.8431
1440,4312,18098_29.2916871_-94.826568_0_253.68.jpg,oLtFmb-Y7vMdOnOwtoqMoQ,1.20610897,0.596373627,29.2916871,-94.826568,29.29165512,-94.82670588,"[2019, 10]",12,Y,2135.179932,22982.88551,1.20610897,4.213050427,12,Y,9.286949573,7.786949573,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,523709.8532,725948.0347,899458.7571,829622.8972,832471.3568,841823.7568,844709.849
507,2312,14339_29.2949462_-94.8118653_0_13.30.jpg,lHffxiGTbAfAnUnsnIUFYQ,0.842888686,0.74141848,29.2949462,-94.8118653,29.29509266,-94.81185695,"[2021, 4]",12,Y,1928.569946,20758.95413,0.842888686,3.021382828,12,Y,10.47861717,8.978617172,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,497771.014,689992.5352,854909.4404,788532.4827,791239.8609,799687.279,802294.0994
3327,2315,14324_29.2971047_-94.7909453_0_222.93.jpg,0V37UjBVJC__oeSd4cOSXA,1.652651686,0.746728621,29.2971047,-94.7909453,29.29698949,-94.79106261,"[2018, 8]",11,Y,2242.679932,24140.00588,1.652651686,5.678085584,11,Y,6.821914416,5.321914416,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,497680.8818,689867.5971,854754.6405,788389.7018,791096.5898,798464.0391,800737.5879
929,553,11232_29.3256504_-94.7719901_0_88.59.jpg,FILOB5CLUICHi0GmrSDG6g,1.06081573,0.680034799,29.3256504,-94.7719901,29.3256377,-94.77159553,"[2021, 4]",11,Y,1885.650024,20296.96794,1.06081573,3.736366568,11,Y,8.763633432,7.263633432,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,451884.2539,626385.9349,776100.0616,715842.0289,718299.8289,726559.2515,729108.0577
6385,555,11242_29.3227281_-94.7709921_0_73.58.jpg,xWXszmSc2uwHELXkyIsDrg,2.277606183,0.641659671,29.3227281,-94.7709921,29.32277449,-94.77082722,"[2021, 4]",11,Y,2061.27002,22187.32584,2.277606183,7.72846123,11,Y,4.77153877,3.27153877,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,423304.3146,586769.4361,727014.7207,670567.7766,672870.1302,679641.6281,681731.27
829,6294,22295_29.26683_-94.8509595_0_81.01.jpg,nUJF3czdye0aIxXYizWQ5Q,1.019132941,0.493780253,29.26683,-94.8509595,29.26689232,-94.8507049,"[2020, 3]",11,Y,1731.26001,18635.12766,1.019132941,3.599612011,11,Y,8.900387989,7.400387989,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,417434.0897,578632.3385,716932.7542,661268.5951,663539.0205,671122.1923,673462.3117
5640,582,11358_29.308561_-94.7817852_0_358.22.jpg,kPqOJkdj96zRrw75djt8SQ,2.085147215,0.619599898,29.30856102,-94.7817852,29.30875517,-94.78174612,"[2019, 9]",12,Y,1875.939941,20192.44947,2.085147215,7.09703417,12,Y,6.40296583,4.90296583,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,409951.6398,568260.4316,704081.8311,649415.4445,651645.1729,657807.8411,659709.602
2526,264,10622_29.3115026_-94.7706409_0_178.31.jpg,s-El7OddOJaWsZYJoC7t1Q,1.472974832,0.851097033,29.3115026,-94.7706409,29.31134255,-94.77063844,"[2019, 9]",11,Y,1788.530029,19251.57701,1.472974832,5.088594593,11,Y,7.411405407,5.911405407,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,405410.3751,561965.4915,696282.3209,642221.5047,644426.5331,650302.0502,652115.198
80,476,11038_29.3059226_-94.7973998_0_178.19.jpg,uLsQxM4s9-D_G8FHUR3mQA,0.323832896,0.380628438,29.30592257,-94.79739985,29.30528373,-94.79734036,"[2019, 1]",12,Y,1462.719971,15744.58673,0.323832896,1.318443885,12,Y,12.18155612,10.68155612,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,404345.4877,560489.3823,694453.4031,640534.5878,642733.8243,649140.7514,651117.8891
2722,575,11328_29.311573_-94.7703521_0_194.67.jpg,4sj6xjG0PV8549AmzaHt9g,1.521981482,0.816552484,29.311573,-94.7703521,29.31139547,-94.770417,"[2019, 9]",11,Y,1788.530029,19251.57701,1.521981482,5.249377566,11,Y,7.250622434,5.750622434,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,403088.8808,558747.5183,692295.2117,638543.9629,640736.3647,646611.8818,648425.0297
2131,569,11315_29.3124396_-94.7707045_0_191.15.jpg,jbTpDezUgepe_lwbpXneqg,1.385155055,0.870752955,29.3124396,-94.7707045,29.31232415,-94.7707037,"[2019, 10]",11,Y,1689.73999,18188.20988,1.385155055,4.800471965,11,Y,7.699528035,6.199528035,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,386947.727,536373.2232,664573.1782,612974.3261,615078.9361,620629.9171,622592.4783
8796,8358,26560_29.241698_-94.8720265_0_48.41.jpg,FEDqtcWNuvVXDpubhfIFlQ,5.275732304,0.618803217,29.241698,-94.8720265,29.24183925,-94.87190089,"[2020, 2]",17,N,2094.840088,22548.67104,5.275732304,17.56483302,17,Y,0.935166982,-0.564833018,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,383327.4078,531354.8649,658355.3691,607239.2807,609324.1998,609324.1998,609324.1998
2944,4322,18124_29.290113_-94.8598909_0_193.87.jpg,oi1tzJ9wO-Tb_zG-F7tRFw,1.570767568,0.813033658,29.290113,-94.8598909,29.28995822,-94.8599328,"[2019, 8]",13,Y,1529.290039,16461.14098,1.570767568,5.409436903,13,Y,9.090563097,7.590563097,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,371866.444,515468.0832,638671.4465,589083.6591,591106.2419,597804.7557,599871.8752
968,2318,14359_29.2940111_-94.7895222_0_162.78.jpg,3XWE4isqcopwj_jzt2hQnw,1.075117941,0.818185306,29.2940111,-94.7895222,29.29390446,-94.78949503,"[2019, 10]",11,Y,1511.910034,16274.06416,1.075117941,3.783289833,11,Y,8.716710167,7.216710167,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,361556.1668,501176.3424,620963.7997,572750.871,574717.3762,581339.763,583383.3902
3117,2305,14306_29.297922_-94.7825475_0_74.06.jpg,PvrjLFs4qm8uSFcQviUrdA,1.610726912,0.823272568,29.297922,-94.7825475,29.29798231,-94.78242231,"[2019, 10]",11,Y,1572.449951,16925.71041,1.610726912,5.540537113,11,Y,6.959462887,5.459462887,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,350693.9014,486119.4551,602308.1267,555543.6635,557451.0889,562616.7592,564210.8528
1445,576,11331_29.3106489_-94.7701797_0_357.49.jpg,xrnDgpwymQChXVaxUcZW4g,1.206320731,0.929951522,29.3106489,-94.77017974,29.31077548,-94.77017275,"[2019, 10]",11,Y,1418.26001,15266.0237,1.206320731,4.21374518,11,Y,8.28625482,6.78625482,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,332589.4823,461023.7511,571214.2335,526863.9652,528672.9205,534885.1066,536802.1483
382,2300,14296_29.2981201_-94.8013955_0_44.10.jpg,mbx2ovpTYxOm_A_NYbdlew,0.749899405,0.666554881,29.2981201,-94.8013955,29.29821445,-94.80129357,"[2017, 3]",12,Y,1262.640015,13590.94401,0.749899405,2.716299885,12,Y,10.78370011,9.283700115,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,330038.4086,457487.5432,566832.8273,522822.7406,524617.8206,530148.3683,531855.0608
7307,2264,14184_29.3044577_-94.7938349_0_328.24.jpg,-1HEAlOfkXoiQSQr1hNV_A,2.769048804,0.51035693,29.3044577,-94.7938349,29.30451427,-94.79388075,"[2019, 10]",12,Y,1605.410034,17280.48979,2.769048804,9.340805787,12,Y,4.159194213,2.659194213,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,321752.2766,446001.6007,552601.5999,509696.4554,511446.4671,516720.415,518347.9223
592,5284,1989_29.277592_-94.8308659_0_156.11.jpg,ue8q06R17yGwC1W8j5rPog,0.902265519,0.378078449,29.277592,-94.8308659,29.27750954,-94.8308413,"[2021, 4]",11,Y,1276.880005,13744.22199,0.902265519,3.216188711,11,Y,9.283811289,7.783811289,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,313145.7601,434071.5526,537820.1201,496062.6406,497765.8415,503358.7624,505084.7029
3,2286,14262_29.30033_-94.8046854_0_238.99.jpg,8fL33KAYNeXQsMbykXGkPA,-0.072425335,0.353248133,29.30033,-94.8046854,29.30025014,-94.80485036,"[2021, 4]",12,Y,1044.780029,11245.91864,-0.072425335,0.018384072,12,Y,13.48161593,11.98161593,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,303433.0574,420608.1485,521138.7928,480676.4865,482326.86,486903.1491,488315.3633
4703,565,11272_29.317754_-94.7752479_0_228.48.jpg,fCYfdE0bJkA4_ZMEL3an9g,1.915195635,0.723228093,29.317754,-94.7752479,29.31762875,-94.77543144,"[2021, 4]",11,Y,1409.640015,15173.23884,1.915195635,6.539450246,11,Y,5.960549754,4.460549754,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,303015.8358,420029.8107,520422.225,480015.5545,481663.6587,486294.4806,487723.5233
6707,8350,26510_29.2531523_-94.8535692_0_49.98.jpg,KuFFpaIBkKcIr0WIVBEakQ,2.405462662,0.60369422,29.2531523,-94.8535692,29.25327756,-94.85337648,"[2020, 3]",11,Y,1489.550049,16033.38329,2.405462662,8.147937867,11,Y,4.352062133,2.852062133,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,300851.1512,417029.2016,516704.4325,476586.4192,478222.7497,483116.0848,484626.1374
55,2247,14137_29.2919625_-94.8152711_0_193.06.jpg,hN7s9SF0_QpgH29jt5bbvA,0.211417322,0.667592899,29.29196252,-94.81527106,29.29105293,-94.81553014,"[2019, 1]",11,Y,1113.680054,11987.55233,0.211417322,0.949626385,11,Y,11.55037362,10.05037362,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,300292.6647,416255.0474,515745.2458,475701.7057,477334.9986,482213.0799,483718.4253
3178,4315,18103_29.2910776_-94.8356835_0_229.22.jpg,MKIKcwiipWNrxq57xjle4w,1.622711844,0.401941636,29.2910776,-94.8356835,29.29102351,-94.83578294,"[2020, 2]",13,Y,1228.589966,13224.43233,1.622711844,5.579857756,13,Y,8.920142244,7.420142244,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,296493.654,410988.9934,509220.5386,469683.5905,471296.2205,476677.624,478338.2915
2756,4310,18096_29.2914514_-94.8136581_0_356.88.jpg,HUraJjltU8XMhzC1uIBhRQ,1.529644091,0.704117705,29.29145137,-94.81365811,29.2915241,-94.81367693,"[2019, 10]",11,Y,1285.859985,13840.88169,1.529644091,5.274517359,11,Y,7.225482641,5.725482641,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,289538.9539,401348.6347,497276.0127,458666.4626,460241.2659,464465.4569,465769.0158
6924,10185,4676_29.3129817_-94.7777488_0_193.34.jpg,WOE3GjP4g-sGMC1Nwyg7kg,2.515738225,0.741339052,29.3129817,-94.7777488,29.31288045,-94.77775325,"[2021, 4]",13,Y,1333.579956,14354.53518,2.515738225,8.509734334,13,Y,5.990265666,4.490265666,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,286985.9047,397809.6884,492891.2137,454622.1085,456183.0258,460563.9821,461915.9178
999,584,11365_29.3082912_-94.7885765_0_101.98.jpg,hIhrxQ8ABPzDoajlENcGJQ,1.087127882,0.385506302,29.3082912,-94.7885765,29.30828599,-94.78838026,"[2019, 10]",12,Y,1126.819946,12128.98895,1.087127882,3.822692526,12,Y,9.677307474,8.177307474,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,281117.3063,389674.8454,482812.0407,445325.5036,446854.5016,451790.1376,453313.244
122,8373,26606_29.1753275_-94.9855659_0_159.76.jpg,Wwf9N0jWX30hRrPGvQ46eQ,0.420104359,0.79988824,29.1753275,-94.9855659,29.17493342,-94.98545372,"[2021, 4]",16,Y,868.552002,9349.015942,0.420104359,1.634295141,16,Y,15.86570486,14.36570486,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,274540.4429,380558.2303,471516.4399,434906.9169,436400.1433,440204.5279,441378.5373
1128,6312,22326_29.2647113_-94.8354244_0_327.94.jpg,gV3Vj40m7jSRGsvpeqFJHg,1.125877755,0.741265873,29.2647113,-94.8354244,29.26480513,-94.83549049,"[2019, 10]",10,Y,1202.560059,12944.24875,1.125877755,3.949824656,10,Y,7.550175344,6.050175344,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,273934.3664,379718.1086,470475.5184,433946.8147,435436.7447,439387.2862,440606.3987
6439,590,11378_29.3073872_-94.7944967_0_104.24.jpg,VOAksx3KkBgWqxp0UBKwJw,2.297798358,0.405361122,29.3073872,-94.7944967,29.307374,-94.79437233,"[2018, 8]",12,Y,1274.439941,13717.95736,2.297798358,7.794708524,12,Y,5.705291476,4.205291476,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,271327.0479,376103.9361,465997.5133,429816.4913,431292.24,435478.9149,436770.8966
7579,579,11351_29.3088064_-94.7880932_0_342.89.jpg,OonKEPk0Zwt0XNkZEVLqgw,3.058609585,0.470386768,29.3088064,-94.7880932,29.30904517,-94.78818694,"[2019, 1]",12,Y,1382.949951,14885.94938,3.058609585,10.29080835,12,Y,3.20919165,1.70919165,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,266561.1138,369497.5672,457812.139,422266.6466,423716.4734,428259.6155,429661.6007
4200,150,10284_29.3197032_-94.7744808_0_68.02.jpg,OsMLLXAk1749Lci9KXsYdQ,1.822670333,0.775711082,29.3197032,-94.7744808,29.31975424,-94.77438104,"[2019, 10]",11,Y,1214.099976,13068.46338,1.822670333,6.235889544,11,Y,6.264110456,4.764110456,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,263957.9059,365889.0928,453341.1937,418142.8348,419578.5028,423566.9542,424797.7654
7488,2767,15135_29.2886188_-94.8517647_0_330.34.jpg,Xc2OoVhoNXYZHxVU9o_cDw,2.954013674,0.493258409,29.2886188,-94.8517647,29.28907364,-94.85216888,"[2021, 3]",13,Y,1292.48999,13912.24647,2.954013674,9.947645912,13,Y,4.552354088,3.052354088,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,263139.9243,364755.2356,451936.3304,416847.0481,418278.267,422524.2382,423834.5184
6851,2270,14209_29.3038019_-94.8036625_0_148.41.jpg,iJXYU5zLPAqo86zQdW_Csw,2.469774653,0.426346433,29.3038019,-94.8036625,29.30369616,-94.80361012,"[2018, 8]",13,Y,1214.859985,13076.64405,2.469774653,8.358935213,13,Y,6.141064787,4.641064787,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,262916.3715,364445.3546,451552.3839,416492.912,417922.915,421913.8632,423145.4448
6438,558,11251_29.3201011_-94.7743977_0_66.76.jpg,FDUX_4zCJJr6lX9ag2ft3g,2.297623502,0.746207941,29.3201011,-94.7743977,29.32016728,-94.77429318,"[2019, 9]",11,Y,1214.099976,13068.46338,2.297623502,7.794134849,11,Y,4.705865151,3.205865151,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,248685.0022,344718.3349,427110.3581,393948.6162,395301.2148,399289.6662,400520.4774
8446,2304,14304_29.2971755_-94.8414041_0_353.38.jpg,PauirreOHKsv64a3-MZTDg,4.000735064,0.534495064,29.2971755,-94.8414041,29.2973774,-94.84138717,"[2021, 3]",13,N,1370.359985,14750.43212,4.000735064,13.38177121,13,Y,1.118228793,-0.381771207,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,250757.346,347590.9445,430669.5575,397231.4719,398595.342,398595.342,398595.342
7461,715,11611_29.3037438_-94.803884_0_134.61.jpg,4PkLqxGmbxlvKzEN3FdjgQ,2.931990197,0.409578161,29.3037438,-94.803884,29.30367294,-94.80382806,"[2018, 8]",13,Y,1214.859985,13076.64405,2.931990197,9.87539041,13,Y,4.62460959,3.12460959,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,248043.7628,343829.4717,426009.0454,392932.8117,394281.9226,398272.8707,399504.4524
2735,953,12015_29.300153_-94.8046278_0_268.93.jpg,Zp4jYcdKE6656CDpRZ23HA,1.523720453,0.344197341,29.300153,-94.8046278,29.30019322,-94.80493426,"[2021, 4]",12,Y,1044.780029,11245.91864,1.523720453,5.255082851,12,Y,8.244917149,6.744917149,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,244541.569,338974.8548,419994.1139,387384.8921,388714.9545,393291.2437,394703.4579
8323,2310,14332_29.295653_-94.8048584_0_14.36.jpg,Fqa_wQVvGiFRnsVY0yKIuQ,3.807313076,0.694051531,29.29565304,-94.80485838,29.29578731,-94.80479333,"[2016, 9]",11,N,1344.290039,14469.81755,3.807313076,12.74718463,11,N,0,-1.747184633,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,391012.4009,391012.4009
3248,2308,14325_29.2966679_-94.8021244_0_59.63.jpg,FM1PM0nUJaBVmj9c3DWzFQ,1.634203189,0.658876716,29.2966679,-94.8021244,29.29675244,-94.80192384,"[2019, 1]",11,Y,1078.02002,11603.71092,1.634203189,5.617559019,11,Y,6.882440981,5.382440981,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,239753.911,332338.3729,411771.4293,379800.6339,381104.6563,384646.0701,385738.9283
4324,9339,29263_29.1604568_-95.0099461_0_339.87.jpg,cpAn6jO_oK318aIwezhIAQ,1.848642379,0.929269877,29.1604568,-95.0099461,29.16077616,-95.01000034,"[2021, 4]",15,Y,930.7839966,10018.87556,1.848642379,6.321099669,15,Y,10.17890033,8.678900331,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,237235.9557,328848.0726,407446.9032,375811.8731,377102.2003,381179.1702,382437.2976
1832,752,11668_29.3030864_-94.7780764_0_282.64.jpg,Xrl8MymWK2NxXgq__IEJxQ,1.306482849,0.73835297,29.30308637,-94.77807637,29.30312695,-94.77833518,"[2017, 5]",11,Y,1022.070007,11001.46999,1.306482849,4.542361053,11,Y,7.957638947,6.457638947,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,236182.0795,327387.2267,405636.8968,374142.3994,375426.9945,379718.6125,381100.13
643,588,11373_29.3080383_-94.7884862_0_267.79.jpg,quqH6XNLQzaZg2B4hVpGqA,0.930799768,0.3856475,29.3080383,-94.7884862,29.30802515,-94.78862566,"[2019, 10]",12,Y,924.1290283,9947.242074,0.930799768,3.309805013,12,Y,10.19019499,8.690194987,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,235652.1043,326652.5939,404726.6775,373302.8514,374584.564,378632.3841,379881.5161
3356,2277,14223_29.3035028_-94.7786015_0_178.34.jpg,O_m7LIMED0YuAvEg8kOrSw,1.65962648,0.763560442,29.3035028,-94.7786015,29.30336338,-94.77859178,"[2021, 3]",11,Y,1022.070007,11001.46999,1.65962648,5.700968766,11,Y,6.799031234,5.299031234,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,226622.2885,314135.7833,389218.1915,358998.4767,360231.0761,363588.6881,364624.8261
3267,5996,2163_29.2751495_-94.841846_0_185.01.jpg,gQmGRxMd9PoZ5R9MZX9ZCw,1.638094712,0.480963738,29.27514946,-94.84184597,29.27500869,-94.84189795,"[2021, 4]",11,Y,1013.549988,10909.76127,1.638094712,5.630326483,11,Y,6.869673517,5.369673517,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,225311.1733,312318.3619,386966.3835,356921.5038,358146.9721,361476.5948,362504.0956
766,6242,22113_29.2772551_-94.8253723_0_253.00.jpg,Xxlqbx9uVYqDLpY9T2dKfA,0.994006667,0.420496826,29.27725513,-94.82537229,29.27717256,-94.82573481,"[2020, 3]",11,Y,924.0490112,9946.380777,0.994006667,3.517176729,11,Y,8.982823271,7.482823271,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,223622.7212,309977.8894,384066.5086,354246.7813,355463.066,359510.5357,360759.5595
2434,1545,12977_29.2959357_-94.8056493_0_266.59.jpg,rfCwLlvRzQ_uNr0dSOgn7Q,1.451469191,0.6991183,29.2959357,-94.8056493,29.29594342,-94.80577968,"[2019, 10]",11,Y,983.7269897,10588.74919,1.451469191,5.018038028,11,Y,7.481961972,5.981961972,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,223544.0766,309868.875,383931.4384,354122.1982,355338.0552,358569.7061,359566.9734
