,Unnamed: 0,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m.1,FFE_gsv_ft,STATIC_BFE.1,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,cost_2021_PCI_Family_house,is_residential
137,1387,2678,14957_29.2899851_-94.7902912_0_314.08.jpg,MiwSx37ipB6E6vXykBpWXA,1.835345913,1.014774833,29.28998512,-94.79029119,29.29008758,-94.79048674,"[2019, 10]",10,Y,366.118988,3940.871989,1.835345913,6.021476093,10,Y,5.478523907,3.978523907,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,77276.13688,111604.2332,113077.3201,127542.7756,127980.686,Y
138,1388,12355,8201_29.2899851_-94.7902912_0_314.08.jpg,MiwSx37ipB6E6vXykBpWXA,1.835345913,1.014774833,29.2899851,-94.7902912,29.29008756,-94.79048675,"[2019, 10]",10,Y,366.118988,3940.871989,1.835345913,6.021476093,10,Y,5.478523907,3.978523907,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,77276.13688,111604.2332,113077.3201,127542.7756,127980.686,Y
203,8121,10482,5122_29.306166_-94.7873174_0_148.05.jpg,V_2mNU5HwNeFEoQL6T64ug,2.782914885,0.541726926,29.30616603,-94.78731741,29.30605487,-94.78725756,"[2018, 8]",12,Y,366.1180115,3940.861478,2.782914885,9.130298179,12,Y,4.369701821,2.869701821,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,73998.64509,106870.7932,108281.4025,122133.3385,122552.6759,Y
25,10586,6494,22622_29.2568334_-94.8751152_0_245.13.jpg,0NuyJfcoGqdr2Cqobhm5RQ,2.189084545,0.345715889,29.2568334,-94.8751152,29.25674144,-94.8753638,"[2020, 2]",14,Y,365.8670044,3938.15966,2.189084545,7.182035909,14,Y,8.317964091,6.817964091,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,85922.62604,124091.7207,125729.6325,141813.6394,142300.5479,Y
85,5367,124,10242_29.3207121_-94.7729686_0_96.67.jpg,jRfpM7U1Y8Xst86MLzRSxw,1.785129813,0.951978302,29.3207121,-94.7729686,29.3206772,-94.77276672,"[2016, 9]",11,Y,365.7900085,3937.330883,1.785129813,5.856725108,11,Y,6.643274892,5.143274892,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,80646.20723,116471.3776,118008.7069,133105.0118,133562.0198,Y
37,6431,2572,14770_29.2904091_-94.8168258_0_73.20.jpg,dquTBwcU7E4BMXubpd4OxQ,1.383312596,0.660336147,29.2904091,-94.8168258,29.29044571,-94.81657993,"[2020, 3]",11,Y,365.7090149,3936.459075,1.383312596,4.538427152,11,Y,7.961572848,6.461572848,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84520.41993,122066.6177,123677.7997,139499.3253,139978.2877,Y
59,8620,304,10709_29.3086573_-94.7799889_0_282.89.jpg,6JQPIthXpICMKDrBcksP5g,1.860477699,0.578746651,29.3086573,-94.7799889,29.30865639,-94.780172,"[2016, 5]",12,Y,365.42099,3933.358801,1.860477699,6.103929459,12,Y,7.396070541,5.896070541,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,82785.61078,119561.1606,121139.2726,136636.0562,137105.1877,Y
24,6658,916,11969_29.3007041_-94.7835037_0_223.53.jpg,46-nMdgkN1bgdLDttFBqFA,1.243610835,0.770043259,29.30070406,-94.78350366,29.30056323,-94.78363856,"[2019, 1]",11,Y,365.1430054,3930.366599,1.243610835,4.080088041,11,Y,8.419911959,6.919911959,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,86153.28982,124424.8514,126067.1603,142194.3456,142682.5612,Y
29,6605,11094,5958_29.3002361_-94.783742_0_357.56.jpg,QdKQhgPGSizC5DAE5WJg7A,1.279732701,0.787444159,29.3002361,-94.783742,29.30040441,-94.78377359,"[2019, 8]",11,Y,365.1430054,3930.366599,1.279732701,4.1985981,11,Y,8.3014019,6.8014019,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,85687.50185,123752.1481,125385.5778,141425.5715,141911.1476,Y
28,8842,5982,21612_29.2652304_-94.8757285_0_24.31.jpg,6CO85EjJ3hx1T0iFRksr8g,1.577107364,0.323841025,29.2652304,-94.8757285,29.26543147,-94.87564013,"[2020, 2]",12,Y,364.9830017,3928.644334,1.577107364,5.174236759,12,Y,8.325763241,6.825763241,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,85745.66109,123836.1433,125470.6816,141521.5622,142007.4679,Y
56,2110,3490,16388_29.2866373_-94.8149282_0_253.11.jpg,ZEyc27nIv6ufrw-rEVrShg,1.206178476,0.743547783,29.2866373,-94.8149282,29.28660291,-94.81511686,"[2021, 4]",10,Y,364.4100037,3922.476635,1.206178476,3.957278465,10,Y,7.542721535,6.042721535,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,82987.99958,119853.4558,121435.4259,136970.095,137440.3735,Y
22,8887,2138,13947_29.2925428_-94.8193788_0_284.25.jpg,mtfsp_lwpBEhMFcqJVAH9Q,1.494692319,0.629162832,29.2925428,-94.8193788,29.29259612,-94.8196047,"[2020, 3]",12,Y,363.3420105,3910.980852,1.494692319,4.903846191,12,Y,8.596153809,7.096153809,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,86417.63444,124806.6249,126453.9728,142630.6413,143120.3549,Y
39,6490,6551,22747_29.2537243_-94.850698_0_141.48.jpg,pd8KxaSbMiLQogL0W83-Vg,1.347186879,0.541388175,29.2537243,-94.850698,29.25346975,-94.85036616,"[2016, 11]",11,Y,363.1650085,3909.075618,1.347186879,4.419904459,11,Y,8.080095541,6.580095541,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84358.22531,121832.372,123440.4621,139231.6262,139709.6695,Y
40,6491,6553,22752_29.2537243_-94.850698_0_141.48.jpg,pd8KxaSbMiLQogL0W83-Vg,1.347186879,0.541388175,29.25372432,-94.85069804,29.25346977,-94.8503662,"[2016, 11]",11,Y,363.1650085,3909.075618,1.347186879,4.419904459,11,Y,8.080095541,6.580095541,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84358.22531,121832.372,123440.4621,139231.6262,139709.6695,Y
41,6492,6554,22754_29.2537243_-94.850698_0_141.48.jpg,pd8KxaSbMiLQogL0W83-Vg,1.347186879,0.541388175,29.25372432,-94.85069804,29.25346977,-94.8503662,"[2016, 11]",11,Y,363.1650085,3909.075618,1.347186879,4.419904459,11,Y,8.080095541,6.580095541,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84358.22531,121832.372,123440.4621,139231.6262,139709.6695,Y
42,6493,6565,22775_29.2537243_-94.850698_0_141.48.jpg,pd8KxaSbMiLQogL0W83-Vg,1.347186879,0.541388175,29.25372432,-94.85069804,29.25346977,-94.8503662,"[2016, 11]",11,Y,363.1650085,3909.075618,1.347186879,4.419904459,11,Y,8.080095541,6.580095541,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84358.22531,121832.372,123440.4621,139231.6262,139709.6695,Y
475,3249,629,11448_29.304927_-94.7787122_0_237.87.jpg,9V8a8o0CBm-tJfMJerbUpg,3.287598026,0.716173655,29.304927,-94.7787122,29.30487748,-94.77880301,"[2017, 5]",11,Y,362.5859985,3902.843206,3.287598026,10.78608276,11,Y,1.713917238,0.213917238,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,66348.33451,95822.01306,97086.78724,109506.6483,109882.6327,Y
72,5993,10058,4395_29.32273_-94.7735019_0_97.87.jpg,8577aHUJ5Yz_gio_kcaUtA,1.580056078,0.793811866,29.32273,-94.7735019,29.3227327,-94.77330514,"[2019, 9]",11,Y,361.5629883,3891.831616,1.580056078,5.183911017,11,Y,7.316088983,5.816088983,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,81678.12986,117961.7075,119518.708,134808.1802,135271.0359,Y
206,901,9463,3067_29.2534278_-94.8707092_0_133.50.jpg,cVzL7v35v_RMJ-cakpUHqA,2.099374573,0.747206426,29.2534278,-94.8707092,29.25330828,-94.87057233,"[2020, 2]",10,Y,361.5429993,3891.616456,2.099374573,6.887711854,10,Y,4.612288146,3.112288146,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,73781.99741,106557.9049,107964.3843,121775.7657,122193.8754,Y
211,892,9462,3066_29.2532497_-94.8703725_0_256.43.jpg,rQQe9Q-5u66BS6wcoz64DA,2.104806223,0.78513805,29.2532497,-94.8703725,29.25316858,-94.8705701,"[2020, 2]",10,Y,361.5429993,3891.616456,2.104806223,6.905532228,10,Y,4.594467772,3.094467772,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,73729.98486,106482.787,107888.2749,121689.92,122107.7349,Y
64,6176,5825,2088_29.2754562_-94.841093_0_335.88.jpg,5zJwgt1Wml3cGgI7_NofHw,1.508425367,0.385103056,29.27545621,-94.84109302,29.2755861,-94.84117603,"[2021, 4]",11,Y,361.072998,3886.557404,1.508425367,4.948902123,11,Y,7.551097877,6.051097877,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,82252.47129,118791.1865,120359.1355,135756.1197,136222.2301,Y
71,2073,1004,1210_29.2842232_-94.8231963_0_177.18.jpg,Im1oOy_oaY3ucGQMrdCqtg,1.244451025,0.771540915,29.2842232,-94.8231963,29.28405499,-94.82319067,"[2020, 2]",10,Y,360.6960144,3882.499587,1.244451025,4.08284457,10,Y,7.41715543,5.91715543,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,81776.57076,118103.8784,119662.7555,134970.6551,135434.0686,Y
26,6840,2528,14692_29.2909566_-94.8192299_0_178.46.jpg,0fc0urtrt_c2l6mx-9lKww,1.161525309,0.618514645,29.29095658,-94.8192299,29.29082616,-94.81919324,"[2020, 3]",11,Y,359.4849854,3869.464179,1.161525309,3.810778573,11,Y,8.689221427,7.189221427,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,85860.39747,124001.8486,125638.5741,141710.9324,142197.4882,Y
114,8428,491,11079_29.3053677_-94.7867999_0_327.07.jpg,y4VVD9LSCb_JdI2AK6ZjQA,2.136977848,0.533432738,29.30536769,-94.78679992,29.30545742,-94.78685131,"[2021, 3]",12,Y,359.3359985,3867.860497,2.136977848,7.011082178,12,Y,6.488917822,4.988917822,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,78775.50939,113769.6665,115271.3354,130017.4611,130463.8681,Y
83,5866,2364,14431_29.2913623_-94.8193774_0_15.79.jpg,OJ_5uAQfqHJbFut4bLdQ2Q,1.6198077,0.624419153,29.2913623,-94.8193774,29.2916004,-94.81922646,"[2020, 3]",11,Y,359.019989,3864.458999,1.6198077,5.314329724,11,Y,7.185670276,5.685670276,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,80725.66061,116586.1263,118124.9702,133236.1481,133693.6063,Y
73,2107,7088,2406_29.2702226_-94.8353134_0_153.19.jpg,23vYwSaW5RxJOt8Uj60Lzw,1.20852203,0.706230439,29.27022257,-94.83531337,29.27010068,-94.83520921,"[2021, 4]",10,Y,358.5580139,3859.486341,1.20852203,3.96496729,10,Y,7.53503271,6.03503271,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,81633.05515,117896.6094,119452.7506,134733.7853,135196.3855,Y
76,2057,7087,2405_29.2703063_-94.8351219_0_185.39.jpg,zCIJ49Eyr9-hp7TaLVSmeg,1.25020448,0.692414931,29.27030633,-94.83512195,29.27001302,-94.83515717,"[2021, 4]",10,Y,358.5580139,3859.486341,1.25020448,4.101720735,10,Y,7.398279265,5.898279265,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,81237.20661,117324.9145,118873.5098,134080.4449,134540.8019,Y
179,4385,1137,12325_29.2989462_-94.7886805_0_148.37.jpg,gQtFOSo4le2y3BpaS4KqEg,2.183107385,0.745129881,29.2989462,-94.7886805,29.2988168,-94.78862587,"[2019, 8]",11,Y,358.2680054,3856.364715,2.183107385,7.162425804,11,Y,5.337574196,3.837574196,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,75211.37768,108622.2536,110055.9807,124134.9303,124561.14,Y
58,6460,8437,2694_29.2623588_-94.8461288_0_47.99.jpg,6Sl8oLV7ZavmBt3CatrbdQ,1.362616686,0.829917947,29.2623588,-94.8461288,29.26246085,-94.84601228,"[2021, 4]",11,Y,357.7730103,3851.036632,1.362616686,4.470527185,11,Y,8.029472815,6.529472815,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,82910.78849,119741.9455,121322.4438,136842.6596,137312.5005,Y
94,1956,8046,2565_29.2667947_-94.8407075_0_82.06.jpg,Ig8x_NCCtjovQ9un6APn0g,1.328568946,0.736366027,29.2667947,-94.8407075,29.26683021,-94.8405443,"[2020, 3]",10,Y,356.9339905,3842.005498,1.328568946,4.358822001,10,Y,7.141177999,5.641177999,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,80128.41908,115723.5743,117251.0332,132250.4124,132704.4862,Y
105,1868,12534,8614_29.2877857_-94.8059243_0_14.16.jpg,B3-Vbo8YH6CmlA-cgEp1ew,1.403797989,0.815105988,29.2877857,-94.8059243,29.28802208,-94.80587021,"[2021, 4]",10,Y,356.1809998,3833.900374,1.403797989,4.605636447,10,Y,6.894363553,5.394363553,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,79249.68305,114454.4806,115965.1885,130800.0756,131249.1696,Y
107,1857,12533,8613_29.287836_-94.8057252_0_328.90.jpg,f-uFVImLxVdiS2bGJHtXXw,1.414511236,0.818141849,29.287836,-94.8057252,29.28797458,-94.80588015,"[2021, 4]",10,Y,356.1809998,3833.900374,1.414511236,4.640784895,10,Y,6.859215105,5.359215105,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,79148.61631,114308.5174,115817.2987,130633.2669,131081.7882,Y
35,6807,10837,5599_29.302916_-94.7780197_0_58.97.jpg,Vjx38oyVB_vLbVotyP0xnA,1.177628765,0.730928932,29.302916,-94.7780197,29.30297661,-94.77790529,"[2017, 5]",11,Y,356.0809937,3832.823917,1.177628765,3.863611434,11,Y,8.636388566,7.136388566,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84844.87954,122535.2108,124152.5779,140034.8396,140515.6407,Y
43,2306,7559,2478_29.2685329_-94.8409581_0_304.67.jpg,#NAME?,0.912171444,0.617922239,29.2685329,-94.8409581,29.26872624,-94.84118472,"[2021, 4]",10,Y,355.9140015,3831.026428,0.912171444,2.992688465,10,Y,8.507311535,7.007311535,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84310.59211,121763.5788,123370.761,139153.0085,139630.7819,Y
119,5423,8318,2631_29.2634746_-94.8466093_0_267.26.jpg,sRUMMbgtbj1eIEE7tT6a8w,1.767046944,0.809793594,29.2634746,-94.8466093,29.26347798,-94.84679447,"[2021, 4]",11,Y,355.4519958,3826.05344,1.767046944,5.79739811,11,Y,6.70260189,5.20260189,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,78537.21309,113425.5127,114922.639,129624.1576,130069.2143,Y
98,1955,7714,2504_29.2681112_-94.8425884_0_261.03.jpg,5j3k9O2KnaKEArtoxPU3oA,1.328580887,0.59177587,29.2681112,-94.8425884,29.2680735,-94.84273863,"[2021, 4]",10,Y,355.3089905,3824.514144,1.328580887,4.358861178,10,Y,7.141138822,5.641138822,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,79763.50905,115196.5617,116717.0644,131648.1355,132100.1413,Y
93,5987,59,10131_29.3234638_-94.7733429_0_262.10.jpg,QCTPDpdA91aayPChot-ugw,1.580775544,0.729962203,29.3234638,-94.7733429,29.32347724,-94.77359086,"[2019, 9]",11,Y,354.7770081,3818.787933,1.580775544,5.18627147,11,Y,7.31372853,5.81372853,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,80138.39666,115737.9842,117265.6333,132266.8802,132721.0105,Y
124,8465,786,11740_29.3021081_-94.8040379_0_88.83.jpg,SJTwVxwG2HpniNPukwkvew,2.066604063,0.385998569,29.3021081,-94.8040379,29.30205846,-94.80377631,"[2019, 10]",12,Y,354.1380005,3811.909713,2.066604063,6.780197057,12,Y,6.719802943,5.219802943,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,78296.06212,113077.2361,114569.7655,129226.1426,129669.8327,Y
142,5052,3690,1674_29.2802491_-94.830897_0_152.39.jpg,N1U7jRqe6-bvaekVSpQ81w,1.891259229,0.371405564,29.2802491,-94.830897,29.28011502,-94.83082237,"[2016, 6]",11,Y,353.2999878,3802.889419,1.891259229,6.20491873,11,Y,6.29508127,4.79508127,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,76899.40946,111060.1535,112526.059,126920.9943,127356.7698,Y
99,2001,6349,22397_29.2607659_-94.8451582_0_246.73.jpg,wl_FgRLwSF9yO8fauKPM2w,1.290300657,0.739617209,29.26076588,-94.84515821,29.26068392,-94.84537661,"[2021, 4]",10,Y,353.0799866,3800.521346,1.290300657,4.233269872,10,Y,7.266730128,5.766730128,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,79621.10308,114990.8952,116508.6833,131413.0972,131864.296,Y
126,5496,4665,18755_29.2802016_-94.8309958_0_329.94.jpg,U3YMURoLxPHkDNI9tWG9SQ,1.739864784,0.375256165,29.2802016,-94.8309958,29.28039294,-94.83107494,"[2016, 6]",11,Y,352.7030029,3796.463527,1.739864784,5.708217795,11,Y,6.791782205,5.291782205,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,78183.74973,112915.0316,114405.42,129040.7731,129483.8268,Y
548,283,6066,21611_29.2661094_-94.8422177_0_244.90.jpg,jPpOJ8RMQqJy9t1sSYQ_4A,3.134915366,0.669631074,29.2661094,-94.8422177,29.26603774,-94.84238221,"[2021, 4]",10,N,352.6610107,3796.011527,3.134915366,10.2851554,10,Y,1.2148446,-0.2851554,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,64532.19595,93199.09791,94429.2517,106509.1466,106874.8392,Y
47,6833,6106,21837_29.2628016_-94.8425304_0_351.12.jpg,Qb-EKZg-2N1goDYvFCkwlQ,1.166905424,0.746038692,29.2628016,-94.8425304,29.26298752,-94.84260964,"[2020, 3]",11,Y,352.5690002,3795.021134,1.166905424,3.828429869,11,Y,8.671570131,7.171570131,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84141.57722,121519.4831,123123.4434,138874.0527,139350.8683,Y
16,9125,5985,21615_29.2653904_-94.8690079_0_63.96.jpg,PWdsNNNIb06q8YI6AQJgAw,1.209620919,0.598716507,29.2653904,-94.8690079,29.26551385,-94.86876533,"[2021, 3]",12,Y,352.3429871,3792.588349,1.209620919,3.968572569,12,Y,9.531427431,8.031427431,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,87348.72334,126151.328,127816.425,144167.3856,144662.3755,Y
79,8726,1576,13027_29.2958949_-94.8121084_0_176.72.jpg,mw82GnynJujPmwyafheugQ,1.722030166,0.597140041,29.2958949,-94.8121084,29.29574648,-94.8121228,"[2017, 3]",12,Y,352.2340088,3791.415316,1.722030166,5.649705269,12,Y,7.850294731,6.350294731,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,81089.73317,117111.9295,118657.7136,133837.0428,134296.5642,Y
361,3712,10340,4912_29.3074018_-94.7745937_0_223.74.jpg,16zYSRZnOdCXB-Mshaaegw,2.679832605,0.671595489,29.3074018,-94.7745937,29.30730312,-94.77468036,"[2018, 8]",11,Y,352.2229919,3791.296732,2.679832605,8.792101722,11,Y,3.707898278,2.207898278,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,69308.4063,100097.0268,101418.2277,114392.1897,114784.9484,Y
128,1840,8042,2564_29.2672121_-94.840917_0_65.29.jpg,7ZQMQrqQRXzvN_26f7DmEw,1.443370067,0.700489292,29.2672121,-94.840917,29.26724284,-94.84077161,"[2020, 3]",10,Y,352.1950073,3790.995508,1.443370067,4.735466099,10,Y,6.764533901,5.264533901,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,77993.66859,112640.5114,114127.2764,128727.0479,129169.0244,Y
38,2323,9411,29470_29.2607338_-94.8415352_0_246.84.jpg,6AaYcvMC3RAvh45dcmbwfA,0.828864417,0.91523694,29.26073379,-94.84153515,29.2606698,-94.84170741,"[2021, 4]",10,Y,352.0570068,3789.510083,0.828864417,2.719371447,10,Y,8.780628553,7.280628553,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84432.66655,121939.882,123549.3912,139354.49,139832.9552,Y
48,8938,6589,22838_29.2517317_-94.8692459_0_155.01.jpg,CwvxXwZSk9Tq9I_qVLvAnw,1.436559788,0.507300212,29.2517317,-94.8692459,29.25145606,-94.86916657,"[2021, 3]",12,Y,350.7189941,3775.107834,1.436559788,4.713122664,12,Y,8.786877336,7.286877336,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84135.36522,121510.5115,123114.3534,138863.7999,139340.5803,Y
62,8836,6590,22840_29.2516541_-94.8694365_0_140.18.jpg,xivPHLmF_lxDw5xUeKOPvg,1.584223127,0.506574421,29.2516541,-94.8694365,29.25141525,-94.86907586,"[2021, 3]",12,Y,350.7189941,3775.107834,1.584223127,5.197582438,12,Y,8.302417562,6.802417562,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,82306.47734,118869.1835,120438.1619,135845.2557,136311.6721,Y
